segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
3,SCAN_P_QTP,qtp,p,-5.199999,V,1.899997,-3.100001,-5.199999,onboard,10,0.000000000,0.000000000,0.000000000,0.000477833,0.593605876
3,SCAN_P_QTP,qtp,p,-5.099999,V,1.899997,-3.100001,-5.099999,onboard,10,0.000000000,0.000000000,0.000000000,0.000455125,0.603645921
3,SCAN_P_QTP,qtp,p,-5.000000,V,1.899997,-3.100001,-5.000000,onboard,10,0.000000000,0.000000000,0.000000000,0.000495866,0.613160491
3,SCAN_P_QTP,qtp,p,-4.900000,V,1.899997,-3.100001,-4.900000,onboard,10,0.000000000,0.000000000,0.000000000,0.000633854,0.622652650
3,SCAN_P_QTP,qtp,p,-4.800000,V,1.899997,-3.100001,-4.800000,onboard,10,0.000000000,0.000000000,0.000000000,0.000441909,0.632013142
3,SCAN_P_QTP,qtp,p,-4.700000,V,1.899997,-3.100001,-4.700000,onboard,10,0.000000000,0.000000000,0.000000000,0.000626110,0.640576124
3,SCAN_P_QTP,qtp,p,-4.600000,V,1.899997,-3.100001,-4.600000,onboard,10,0.000000000,0.000000000,0.000000000,0.000649664,0.649122059
3,SCAN_P_QTP,qtp,p,-4.500000,V,1.899997,-3.100001,-4.500000,onboard,10,0.000000000,0.000000000,0.000000000,0.000643754,0.657157481
3,SCAN_P_QTP,qtp,p,-4.400000,V,1.899997,-3.100001,-4.400000,onboard,10,0.000000000,0.000000000,0.000000000,0.000860274,0.665511250
3,SCAN_P_QTP,qtp,p,-4.300000,V,1.899997,-3.100001,-4.300000,onboard,10,0.000000000,0.000000000,0.000000000,0.000638375,0.672977090
3,SCAN_P_QTP,qtp,p,-4.200000,V,1.899997,-3.100001,-4.200000,onboard,10,0.000000000,0.000000000,0.000000000,0.000805568,0.679781258
3,SCAN_P_QTP,qtp,p,-4.100000,V,1.899997,-3.100001,-4.100000,onboard,10,0.000000000,0.000000000,0.000000000,0.000829604,0.686473131
3,SCAN_P_QTP,qtp,p,-4.000000,V,1.899997,-3.100001,-4.000000,onboard,10,0.000000000,0.000000000,0.000000000,0.000818685,0.692687809
3,SCAN_P_QTP,qtp,p,-3.900001,V,1.899997,-3.100001,-3.900001,onboard,10,0.000000000,0.000000000,0.000000000,0.001065871,0.698375344
3,SCAN_P_QTP,qtp,p,-3.800001,V,1.899997,-3.100001,-3.800001,onboard,10,0.000000000,0.000000000,0.000000000,0.000806272,0.703673720
3,SCAN_P_QTP,qtp,p,-3.700001,V,1.899997,-3.100001,-3.700001,onboard,10,0.000000000,0.000000000,0.000000000,0.000963623,0.708523393
3,SCAN_P_QTP,qtp,p,-3.600001,V,1.899997,-3.100001,-3.600001,onboard,10,0.000000000,0.000000000,0.000000000,0.000988454,0.712728083
3,SCAN_P_QTP,qtp,p,-3.500001,V,1.899997,-3.100001,-3.500001,onboard,10,0.000000000,0.000000000,0.000000000,0.000972155,0.716836393
3,SCAN_P_QTP,qtp,p,-3.400001,V,1.899997,-3.100001,-3.400001,onboard,10,0.000000000,0.000000000,0.000000000,0.001243730,0.720596015
3,SCAN_P_QTP,qtp,p,-3.300001,V,1.899997,-3.100001,-3.300001,onboard,10,0.000000000,0.000000000,0.000000000,0.000967181,0.724108696
3,SCAN_P_QTP,qtp,p,-3.200001,V,1.899997,-3.100001,-3.200001,onboard,10,0.000000000,0.000000000,0.000000000,0.001114185,0.726799428
3,SCAN_P_QTP,qtp,p,-3.100001,V,1.899997,-3.100001,-3.100001,onboard,10,0.000000000,0.000000000,0.000000000,0.001129077,0.728510022
3,SCAN_P_QTP,qtp,p,-3.000001,V,1.899997,-3.100001,-3.000001,onboard,10,0.000000000,0.000000000,0.000000000,0.001087407,0.730700374
3,SCAN_P_QTP,qtp,p,-2.900002,V,1.899997,-3.100001,-2.900002,onboard,10,0.000000000,0.000000000,0.000000000,0.001398589,0.731802344
