stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,q,-6.900000,V,5.640000,-6.900000,1.360000,onboard,6,0.001533241,0.032797344,0.000552826,0.000275993,0.002772853
mitp,q,-6.880000,V,5.640000,-6.880000,1.360000,onboard,6,0.001623292,0.032034483,0.000177664,0.000233413,0.003715976
mitp,q,-6.860000,V,5.640000,-6.860000,1.360000,onboard,6,0.001794570,0.031217963,0.000154885,0.000248186,0.003560935
mitp,q,-6.840000,V,5.640000,-6.840000,1.360000,onboard,6,0.001726106,0.030294523,0.000256350,0.000223439,0.003271390
mitp,q,-6.820000,V,5.640000,-6.820000,1.360000,onboard,6,0.001893428,0.029382676,0.000101931,0.000217468,0.002966154
mitp,q,-6.800000,V,5.640000,-6.800000,1.360000,onboard,6,0.001931063,0.028425224,0.000159018,0.000222199,0.002671109
mitp,q,-6.780000,V,5.640000,-6.780000,1.360000,onboard,6,0.001976513,0.027472259,0.000217356,0.000220901,0.002368634
mitp,q,-6.760000,V,5.640000,-6.760000,1.360000,onboard,6,0.002137901,0.026617212,0.000141522,0.000222811,0.002086758
mitp,q,-6.740000,V,5.640000,-6.740000,1.360000,onboard,6,0.002103504,0.025658058,0.000241394,0.000217434,0.001812165
mitp,q,-6.720000,V,5.640000,-6.720000,1.360000,onboard,6,0.002269127,0.024644777,0.000100225,0.000207990,0.001532333
mitp,q,-6.700000,V,5.640000,-6.700000,1.360000,onboard,6,0.002287361,0.023669839,0.000150741,0.000211663,0.001270443
mitp,q,-6.680000,V,5.640000,-6.680000,1.360000,onboard,6,0.002360957,0.022681182,0.000202029,0.000210262,0.001010300
mitp,q,-6.660000,V,5.640000,-6.660000,1.360000,onboard,6,0.002504119,0.021701777,0.000133324,0.000209546,0.000762593
mitp,q,-6.640000,V,5.640000,-6.640000,1.360000,onboard,6,0.002474818,0.020708412,0.000216773,0.000204489,0.000530909
mitp,q,-6.620000,V,5.640000,-6.620000,1.360000,onboard,6,0.002629868,0.019749431,0.000106579,0.000196309,0.000303130
mitp,q,-6.600000,V,5.640000,-6.600000,1.360000,onboard,6,0.002680038,0.018797468,0.000143461,0.000194960,0.000091450
mitp,q,-6.580000,V,5.640000,-6.580000,1.360000,onboard,6,0.002740003,0.017777679,0.000185455,0.000195810,-0.000114957
mitp,q,-6.560000,V,5.640000,-6.560000,1.360000,onboard,6,0.002860742,0.016753698,0.000133039,0.000189977,-0.000314508
mitp,q,-6.540000,V,5.640000,-6.540000,1.360000,onboard,6,0.002861168,0.015745107,0.000203904,0.000183228,-0.000505233
mitp,q,-6.520000,V,5.640000,-6.520000,1.360000,onboard,6,0.002986317,0.014740017,0.000124913,0.000175684,-0.000676241
mitp,q,-6.500000,V,5.640000,-6.500000,1.360000,onboard,6,0.003042582,0.013731775,0.000136448,0.000186793,-0.000837510
mitp,q,-6.480000,V,5.640000,-6.480000,1.360000,onboard,6,0.003109835,0.012693557,0.000169410,0.000177610,-0.000981367
mitp,q,-6.460001,V,5.640000,-6.460001,1.360000,onboard,6,0.003219608,0.011719655,0.000135522,0.000172244,-0.001125708
mitp,q,-6.440001,V,5.640000,-6.440001,1.360000,onboard,6,0.003256487,0.010698444,0.000178438,0.000176410,-0.001252891
mitp,q,-6.420001,V,5.640000,-6.420001,1.360000,onboard,6,0.003364883,0.009670571,0.000124241,0.000158250,-0.001373950
mitp,q,-6.400001,V,5.640000,-6.400001,1.360000,onboard,6,0.003430771,0.008637516,0.000128572,0.000174345,-0.001475651
mitp,q,-6.380001,V,5.640000,-6.380001,1.360000,onboard,6,0.003487636,0.007588407,0.000157108,0.000159760,-0.001572171
mitp,q,-6.360001,V,5.640000,-6.360001,1.360000,onboard,6,0.003580495,0.006558001,0.000130931,0.000162472,-0.001654585
mitp,q,-6.340001,V,5.640000,-6.340001,1.360000,onboard,6,0.003634348,0.005547550,0.000160910,0.000161656,-0.001737415
mitp,q,-6.320001,V,5.640000,-6.320001,1.360000,onboard,6,0.003731757,0.004511071,0.000137272,0.000145816,-0.001808228
mitp,q,-6.300001,V,5.640000,-6.300001,1.360000,onboard,6,0.003789386,0.003515208,0.000134664,0.000152419,-0.001863156
mitp,q,-6.280001,V,5.640000,-6.280001,1.360000,onboard,6,0.003856072,0.002464254,0.000154532,0.000142703,-0.001907698
mitp,q,-6.260001,V,5.640000,-6.260001,1.360000,onboard,6,0.003938016,0.001412208,0.000142377,0.000141721,-0.001933404
mitp,q,-6.240001,V,5.640000,-6.240001,1.360000,onboard,6,0.004009570,0.000373125,0.000141623,0.000144596,-0.001941192
mitp,q,-6.220001,V,5.640000,-6.220001,1.360000,onboard,6,0.004087560,0.000694311,0.000151633,0.000134441,-0.001944371
mitp,q,-6.200001,V,5.640000,-6.200001,1.360000,onboard,6,0.004156508,0.001720044,0.000138796,0.000142654,-0.001950491
mitp,q,-6.180001,V,5.640000,-6.180001,1.360000,onboard,6,0.004228132,0.002745852,0.000149459,0.000126749,-0.001935317
