stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
qtp,p,0.100000,V,5.320000,-5.840000,0.100000,onboard,6,0.003554105,0.002803962,0.001010939,0.000643128,0.035323929
qtp,p,0.120000,V,5.320000,-5.840000,0.120000,onboard,6,0.003667417,0.002909349,0.000760719,0.000695759,0.033661976
qtp,p,0.140000,V,5.320000,-5.840000,0.140000,onboard,6,0.003677104,0.002902048,0.000721302,0.000691863,0.033572182
qtp,p,0.160000,V,5.320000,-5.840000,0.160000,onboard,6,0.003723077,0.002890191,0.000744013,0.000674323,0.033639681
qtp,p,0.180000,V,5.320000,-5.840000,0.180000,onboard,6,0.003730239,0.002896507,0.000720521,0.000658315,0.033735763
qtp,p,0.200000,V,5.320000,-5.840000,0.200000,onboard,6,0.003757086,0.002882740,0.000717691,0.000653667,0.033854648
qtp,p,0.220000,V,5.320000,-5.840000,0.220000,onboard,6,0.003790723,0.002874021,0.000701757,0.000630657,0.033935949
qtp,p,0.240000,V,5.320000,-5.840000,0.240000,onboard,6,0.003796195,0.002864134,0.000629306,0.000618112,0.034050301
qtp,p,0.260000,V,5.320000,-5.840000,0.260000,onboard,6,0.003844689,0.002845231,0.000675809,0.000603838,0.034164064
qtp,p,0.280000,V,5.320000,-5.840000,0.280000,onboard,6,0.003862430,0.002853356,0.000633809,0.000588466,0.034273326
qtp,p,0.300000,V,5.320000,-5.840000,0.300000,onboard,6,0.003889840,0.002833419,0.000624158,0.000579891,0.034383662
qtp,p,0.320000,V,5.320000,-5.840000,0.320000,onboard,6,0.003922629,0.002824569,0.000609806,0.000560794,0.034484718
qtp,p,0.340000,V,5.320000,-5.840000,0.340000,onboard,6,0.003935235,0.002821177,0.000564801,0.000557611,0.034588445
qtp,p,0.360000,V,5.320000,-5.840000,0.360000,onboard,6,0.003982088,0.002801797,0.000586183,0.000532470,0.034700312
qtp,p,0.380000,V,5.320000,-5.840000,0.380000,onboard,6,0.003999896,0.002803231,0.000562911,0.000525224,0.034830227
qtp,p,0.400000,V,5.320000,-5.840000,0.400000,onboard,6,0.004029304,0.002785925,0.000539297,0.000518268,0.034932654
qtp,p,0.420000,V,5.320000,-5.840000,0.420000,onboard,6,0.004060164,0.002769657,0.000532618,0.000501182,0.035044014
qtp,p,0.440000,V,5.320000,-5.840000,0.440000,onboard,6,0.004073936,0.002769066,0.000495686,0.000489033,0.035171028
qtp,p,0.460000,V,5.320000,-5.840000,0.460000,onboard,6,0.004116573,0.002749549,0.000508830,0.000466870,0.035268392
qtp,p,0.480000,V,5.320000,-5.840000,0.480000,onboard,6,0.004133949,0.002753481,0.000468300,0.000454892,0.035380263
qtp,p,0.500000,V,5.320000,-5.840000,0.500000,onboard,6,0.004168976,0.002725915,0.000466380,0.000447698,0.035493407
qtp,p,0.520000,V,5.320000,-5.840000,0.520000,onboard,6,0.004193101,0.002717768,0.000471709,0.000424337,0.035606425
qtp,p,0.540000,V,5.320000,-5.840000,0.540000,onboard,6,0.004212548,0.002714852,0.000433703,0.000414231,0.035727199
qtp,p,0.560000,V,5.320000,-5.840000,0.560000,onboard,6,0.004263859,0.002691318,0.000462990,0.000393550,0.035832338
qtp,p,0.580000,V,5.320000,-5.840000,0.580000,onboard,6,0.004278945,0.002693448,0.000400739,0.000383517,0.035946969
qtp,p,0.600000,V,5.320000,-5.840000,0.600000,onboard,6,0.004309227,0.002670597,0.000378014,0.000377266,0.036073964
qtp,p,0.620000,V,5.320000,-5.840000,0.620000,onboard,6,0.004333196,0.002661845,0.000384700,0.000354314,0.036176499
qtp,p,0.640000,V,5.320000,-5.840000,0.640000,onboard,6,0.004347534,0.002651432,0.000377820,0.000349273,0.036281195
qtp,p,0.660000,V,5.320000,-5.840000,0.660000,onboard,6,0.004398479,0.002640691,0.000410675,0.000330102,0.036398973
qtp,p,0.680000,V,5.320000,-5.840000,0.680000,onboard,6,0.004417723,0.002628599,0.000315378,0.000315029,0.036535736
qtp,p,0.700000,V,5.320000,-5.840000,0.700000,onboard,6,0.004441104,0.002601957,0.000297762,0.000305280,0.036654308
qtp,p,0.720000,V,5.320000,-5.840000,0.720000,onboard,6,0.004478710,0.002599386,0.000316322,0.000282391,0.036788888
