stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
qtp,p,1.779999,V,5.640000,-6.240000,1.779999,onboard,6,0.005000076,0.007980683,0.000549813,0.000502316,-0.001458545
qtp,p,1.799999,V,5.640000,-6.240000,1.799999,onboard,6,0.004925595,0.007974140,0.000556980,0.000519134,-0.001461134
qtp,p,1.819999,V,5.640000,-6.240000,1.819999,onboard,6,0.004922829,0.007920687,0.000576252,0.000527853,-0.001465605
qtp,p,1.839999,V,5.640000,-6.240000,1.839999,onboard,6,0.004882764,0.007895809,0.000574752,0.000549480,-0.001474626
qtp,p,1.859999,V,5.640000,-6.240000,1.859999,onboard,6,0.004838289,0.007861271,0.000609486,0.000553344,-0.001479391
qtp,p,1.879999,V,5.640000,-6.240000,1.879999,onboard,6,0.004821929,0.007830497,0.000626423,0.000578808,-0.001479722
qtp,p,1.899999,V,5.640000,-6.240000,1.899999,onboard,6,0.004753442,0.007807069,0.000638441,0.000588122,-0.001484933
qtp,p,1.919999,V,5.640000,-6.240000,1.919999,onboard,6,0.004747116,0.007755422,0.000656038,0.000604311,-0.001479894
qtp,p,1.939999,V,5.640000,-6.240000,1.939999,onboard,6,0.004696876,0.007729160,0.000655097,0.000628438,-0.001474971
qtp,p,1.959999,V,5.640000,-6.240000,1.959999,onboard,6,0.004652651,0.007688240,0.000694509,0.000628496,-0.001477616
qtp,p,1.979999,V,5.640000,-6.240000,1.979999,onboard,6,0.004629798,0.007654687,0.000700874,0.000650999,-0.001481149
qtp,p,1.999999,V,5.640000,-6.240000,1.999999,onboard,6,0.004554124,0.007635159,0.000710278,0.000663780,-0.001485070
qtp,p,2.019999,V,5.640000,-6.240000,2.019999,onboard,6,0.004547364,0.007580740,0.000727211,0.000668505,-0.001483695
qtp,p,2.039999,V,5.640000,-6.240000,2.039999,onboard,6,0.004496587,0.007564541,0.000723615,0.000700766,-0.001477903
qtp,p,2.059999,V,5.640000,-6.240000,2.059999,onboard,6,0.004464042,0.007533368,0.000759992,0.000697254,-0.001474002
qtp,p,2.079999,V,5.640000,-6.240000,2.079999,onboard,6,0.004440125,0.007483229,0.000776734,0.000726600,-0.001474898
qtp,p,2.099999,V,5.640000,-6.240000,2.099999,onboard,6,0.004369259,0.007458783,0.000792601,0.000739173,-0.001483670
qtp,p,2.119999,V,5.640000,-6.240000,2.119999,onboard,6,0.004366285,0.007411034,0.000798943,0.000742698,-0.001498245
qtp,p,2.139999,V,5.640000,-6.240000,2.139999,onboard,6,0.004323476,0.007392852,0.000801547,0.000767541,-0.001499739
qtp,p,2.159999,V,5.640000,-6.240000,2.159999,onboard,6,0.004267016,0.007354561,0.000832327,0.000774712,-0.001499212
qtp,p,2.179999,V,5.640000,-6.240000,2.179999,onboard,6,0.004240617,0.007312370,0.000844137,0.000792726,-0.001504879
qtp,p,2.199999,V,5.640000,-6.240000,2.199999,onboard,6,0.004174506,0.007301298,0.000854040,0.000804860,-0.001489507
