stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
qtp,p,1.140000,V,5.400000,-5.900000,1.140000,onboard,6,0.016574075,0.017458821,0.000132896,0.000144838,0.000899490
qtp,p,1.159999,V,5.400000,-5.900000,1.159999,onboard,6,0.016411176,0.017302576,0.000112625,0.000147991,0.000870864
qtp,p,1.179999,V,5.400000,-5.900000,1.179999,onboard,6,0.016213592,0.017214002,0.000081619,0.000111804,0.000846867
qtp,p,1.199999,V,5.400000,-5.900000,1.199999,onboard,6,0.016050836,0.017119922,0.000092015,0.000075729,0.000816867
qtp,p,1.219999,V,5.400000,-5.900000,1.219999,onboard,6,0.015919195,0.017006209,0.000060274,0.000084521,0.000794798
qtp,p,1.239999,V,5.400000,-5.900000,1.239999,onboard,6,0.015817894,0.016819734,0.000083230,0.000069194,0.000774110
qtp,p,1.259999,V,5.400000,-5.900000,1.259999,onboard,6,0.015702687,0.016703095,0.000091712,0.000070397,0.000743223
qtp,p,1.279999,V,5.400000,-5.900000,1.279999,onboard,6,0.015477267,0.016597407,0.000078871,0.000053401,0.000710086
qtp,p,1.299999,V,5.400000,-5.900000,1.299999,onboard,6,0.015315452,0.016500192,0.000070217,0.000045149,0.000684479
qtp,p,1.319999,V,5.400000,-5.900000,1.319999,onboard,6,0.015173126,0.016380616,0.000030143,0.000036201,0.000662169
qtp,p,1.339999,V,5.400000,-5.900000,1.339999,onboard,6,0.015090181,0.016222538,0.000059337,0.000022132,0.000641861
qtp,p,1.359999,V,5.400000,-5.900000,1.359999,onboard,6,0.014964968,0.016100841,0.000083302,0.000015926,0.000607216
qtp,p,1.379999,V,5.400000,-5.900000,1.379999,onboard,6,0.014729640,0.015974887,0.000103560,0.000037542,0.000566015
qtp,p,1.399999,V,5.400000,-5.900000,1.399999,onboard,6,0.014585323,0.015903115,0.000096659,0.000085447,0.000527163
qtp,p,1.419999,V,5.400000,-5.900000,1.419999,onboard,6,0.014449620,0.015774809,0.000071492,0.000080106,0.000494183
qtp,p,1.439999,V,5.400000,-5.900000,1.439999,onboard,6,0.014340864,0.015596838,0.000074471,0.000090263,0.000473453
qtp,p,1.459999,V,5.400000,-5.900000,1.459999,onboard,6,0.014205959,0.015466425,0.000120303,0.000084356,0.000452583
qtp,p,1.479999,V,5.400000,-5.900000,1.479999,onboard,6,0.014006577,0.015377653,0.000143466,0.000115674,0.000426478
qtp,p,1.499999,V,5.400000,-5.900000,1.499999,onboard,6,0.013843947,0.015284624,0.000133262,0.000150022,0.000403923
qtp,p,1.519999,V,5.400000,-5.900000,1.519999,onboard,6,0.013697469,0.015150267,0.000151791,0.000153935,0.000374873
qtp,p,1.539999,V,5.400000,-5.900000,1.539999,onboard,6,0.013595938,0.014978671,0.000148804,0.000165454,0.000349038
