stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,i,4.400000,V,4.400000,-5.900000,1.360000,onboard,6,0.061268721,0.013363586,0.003288308,0.000311001,0.013105397
mitp,i,4.420000,V,4.420000,-5.900000,1.360000,onboard,6,0.060637768,0.013461385,0.000378717,0.000144453,0.018841859
mitp,i,4.440000,V,4.440000,-5.900000,1.360000,onboard,6,0.059580717,0.013592730,0.000206604,0.000100435,0.018975368
mitp,i,4.460000,V,4.460000,-5.900000,1.360000,onboard,6,0.058663357,0.013347653,0.000174788,0.000118376,0.018454144
mitp,i,4.480000,V,4.480000,-5.900000,1.360000,onboard,6,0.057854850,0.013433295,0.000135658,0.000126485,0.017844649
mitp,i,4.500000,V,4.500000,-5.900000,1.360000,onboard,6,0.056996804,0.013332914,0.000295981,0.000042676,0.017245853
mitp,i,4.520000,V,4.520000,-5.900000,1.360000,onboard,6,0.055970181,0.013217746,0.000095840,0.000121293,0.016640043
mitp,i,4.540000,V,4.540000,-5.900000,1.360000,onboard,6,0.055081699,0.013344944,0.000258442,0.000089547,0.016049415
mitp,i,4.560000,V,4.560000,-5.900000,1.360000,onboard,6,0.054101396,0.013123266,0.000227985,0.000100194,0.015448119
mitp,i,4.580000,V,4.580000,-5.900000,1.360000,onboard,6,0.053218037,0.013204787,0.000127205,0.000107314,0.014845760
mitp,i,4.600000,V,4.600000,-5.900000,1.360000,onboard,6,0.052158192,0.013143443,0.000299759,0.000040715,0.014272264
mitp,i,4.620000,V,4.620000,-5.900000,1.360000,onboard,6,0.051350195,0.013037666,0.000078975,0.000101302,0.013714969
mitp,i,4.640000,V,4.640000,-5.900000,1.360000,onboard,6,0.050434321,0.013159417,0.000231557,0.000083090,0.013156711
mitp,i,4.660000,V,4.660000,-5.900000,1.360000,onboard,6,0.049546089,0.012985282,0.000136204,0.000081857,0.012601767
mitp,i,4.680000,V,4.680000,-5.900000,1.360000,onboard,6,0.048541889,0.013073232,0.000125230,0.000091764,0.012059492
mitp,i,4.700000,V,4.700000,-5.900000,1.360000,onboard,6,0.047545042,0.013003980,0.000282419,0.000039310,0.011531119
mitp,i,4.720000,V,4.720000,-5.900000,1.360000,onboard,6,0.046589240,0.012902469,0.000077722,0.000075492,0.011005885
mitp,i,4.740000,V,4.740000,-5.900000,1.360000,onboard,6,0.045506179,0.013022289,0.000250433,0.000078522,0.010501510
