stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,q,-6.300001,V,5.320000,-6.300001,1.100000,onboard,6,0.003223632,0.022347910,0.000099641,0.000039045,0.041891888
mitp,q,-6.280001,V,5.320000,-6.280001,1.100000,onboard,6,0.003226382,0.021410039,0.000103628,0.000030098,0.041632231
mitp,q,-6.260001,V,5.320000,-6.260001,1.100000,onboard,6,0.003248083,0.020443538,0.000103179,0.000036089,0.041416597
mitp,q,-6.240001,V,5.320000,-6.240001,1.100000,onboard,6,0.003242500,0.019490659,0.000181181,0.000027689,0.041188780
mitp,q,-6.220001,V,5.320000,-6.220001,1.100000,onboard,6,0.003251113,0.018541750,0.000182055,0.000027649,0.040950194
mitp,q,-6.200001,V,5.320000,-6.200001,1.100000,onboard,6,0.003272346,0.017575068,0.000031435,0.000033613,0.040745873
mitp,q,-6.180001,V,5.320000,-6.180001,1.100000,onboard,6,0.003267986,0.016595712,0.000085827,0.000026799,0.040524606
mitp,q,-6.160001,V,5.320000,-6.160001,1.100000,onboard,6,0.003281483,0.015650420,0.000105440,0.000023214,0.040330157
mitp,q,-6.140001,V,5.320000,-6.140001,1.100000,onboard,6,0.003293391,0.014744479,0.000069244,0.000021743,0.040162642
mitp,q,-6.120001,V,5.320000,-6.120001,1.100000,onboard,6,0.003301556,0.013782510,0.000078886,0.000019236,0.040026169
mitp,q,-6.100001,V,5.320000,-6.100001,1.100000,onboard,6,0.003301479,0.012781999,0.000074426,0.000023854,0.039834995
mitp,q,-6.080001,V,5.320000,-6.080001,1.100000,onboard,6,0.003312606,0.011832641,0.000079661,0.000017922,0.039679851
mitp,q,-6.060001,V,5.320000,-6.060001,1.100000,onboard,6,0.003322325,0.010865918,0.000069421,0.000014890,0.039595027
mitp,q,-6.040001,V,5.320000,-6.040001,1.100000,onboard,6,0.003318183,0.009900821,0.000123424,0.000013849,0.039469350
mitp,q,-6.020001,V,5.320000,-6.020001,1.100000,onboard,6,0.003317788,0.008933617,0.000134540,0.000010213,0.039326947
mitp,q,-6.000001,V,5.320000,-6.000001,1.100000,onboard,6,0.003323153,0.007992551,0.000169587,0.000013359,0.039222162
mitp,q,-5.980001,V,5.320000,-5.980001,1.100000,onboard,6,0.003326352,0.007058816,0.000117743,0.000009643,0.039152596
mitp,q,-5.960001,V,5.320000,-5.960001,1.100000,onboard,6,0.003321421,0.006093434,0.000040746,0.000010326,0.039099444
mitp,q,-5.940001,V,5.320000,-5.940001,1.100000,onboard,6,0.003321819,0.005119084,0.000044611,0.000008040,0.039031893
mitp,q,-5.920001,V,5.320000,-5.920001,1.100000,onboard,6,0.003318549,0.004148050,0.000099031,0.000016201,0.038972031
mitp,q,-5.900001,V,5.320000,-5.900001,1.100000,onboard,6,0.003315059,0.003170835,0.000115273,0.000013229,0.038929459
mitp,q,-5.880001,V,5.320000,-5.880001,1.100000,onboard,6,0.003317860,0.002216995,0.000126573,0.000012467,0.038901586
mitp,q,-5.860001,V,5.320000,-5.860001,1.100000,onboard,6,0.003316032,0.001265815,0.000075548,0.000014277,0.038865771
mitp,q,-5.840001,V,5.320000,-5.840001,1.100000,onboard,6,0.003312878,0.000352768,0.000094070,0.000013088,0.038837653
mitp,q,-5.820001,V,5.320000,-5.820001,1.100000,onboard,6,0.003307230,0.000658077,0.000041074,0.000016227,0.038848478
mitp,q,-5.800001,V,5.320000,-5.800001,1.100000,onboard,6,0.003300773,0.001615369,0.000078044,0.000020949,0.038856149
mitp,q,-5.780001,V,5.320000,-5.780001,1.100000,onboard,6,0.003297688,0.002590524,0.000053162,0.000022408,0.038899526
mitp,q,-5.760001,V,5.320000,-5.760001,1.100000,onboard,6,0.003304197,0.003554844,0.000050980,0.000030160,0.038949694
mitp,q,-5.740001,V,5.320000,-5.740001,1.100000,onboard,6,0.003295033,0.004522820,0.000139313,0.000022983,0.039007366
