stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,i,5.579999,V,5.579999,-6.240000,1.100000,onboard,6,0.011752184,0.015599842,0.000183623,0.000084902,0.040645514
mitp,i,5.599999,V,5.599999,-6.240000,1.100000,onboard,6,0.012660104,0.015571516,0.000161698,0.000051862,0.040799219
mitp,i,5.619999,V,5.619999,-6.240000,1.100000,onboard,6,0.013511960,0.015565603,0.000157503,0.000067816,0.040894832
mitp,i,5.639999,V,5.639999,-6.240000,1.100000,onboard,6,0.014501843,0.015520402,0.000148090,0.000082965,0.041062403
mitp,i,5.659999,V,5.659999,-6.240000,1.100000,onboard,6,0.015343715,0.015536681,0.000177553,0.000054187,0.041245416
mitp,i,5.679999,V,5.679999,-6.240000,1.100000,onboard,6,0.016267983,0.015508685,0.000128931,0.000106704,0.041429367
mitp,i,5.699999,V,5.699999,-6.240000,1.100000,onboard,6,0.017095624,0.015461855,0.000103379,0.000068458,0.041607782
mitp,i,5.719999,V,5.719999,-6.240000,1.100000,onboard,6,0.017938811,0.015469800,0.000132782,0.000077902,0.041766781
mitp,i,5.739999,V,5.739999,-6.240000,1.100000,onboard,6,0.018905958,0.015381579,0.000122560,0.000107209,0.041968640
mitp,i,5.759999,V,5.759999,-6.240000,1.100000,onboard,6,0.019740833,0.015401674,0.000199029,0.000066987,0.042191062
mitp,i,5.779999,V,5.779999,-6.240000,1.100000,onboard,6,0.020675693,0.015359108,0.000190243,0.000113580,0.042425457
mitp,i,5.799999,V,5.799999,-6.240000,1.100000,onboard,6,0.021562306,0.015284470,0.000188639,0.000096750,0.042637136
mitp,i,5.819999,V,5.819999,-6.240000,1.100000,onboard,6,0.022449829,0.015306427,0.000227299,0.000084049,0.042872000
mitp,i,5.839999,V,5.839999,-6.240000,1.100000,onboard,6,0.023375243,0.015212260,0.000156939,0.000123161,0.043152377
mitp,i,5.859999,V,5.859999,-6.240000,1.100000,onboard,6,0.024146521,0.015256234,0.000161360,0.000077124,0.043402623
mitp,i,5.879999,V,5.879999,-6.240000,1.100000,onboard,6,0.025098795,0.015174222,0.000136067,0.000135932,0.043657910
mitp,i,5.899999,V,5.899999,-6.240000,1.100000,onboard,6,0.026028050,0.015100927,0.000180940,0.000117811,0.043918628
mitp,i,5.919999,V,5.919999,-6.240000,1.100000,onboard,6,0.026907869,0.015152653,0.000203032,0.000084505,0.044243053
mitp,i,5.939999,V,5.939999,-6.240000,1.100000,onboard,6,0.027849751,0.015018180,0.000109573,0.000145783,0.044569258
mitp,i,5.959999,V,5.959999,-6.240000,1.100000,onboard,6,0.028679369,0.015073933,0.000176790,0.000093261,0.044868317
mitp,i,5.979999,V,5.979999,-6.240000,1.100000,onboard,6,0.029610351,0.014979877,0.000159377,0.000163783,0.045188606
mitp,i,5.999999,V,5.999999,-6.240000,1.100000,onboard,6,0.030407751,0.014912449,0.000169957,0.000129180,0.045535553
mitp,i,6.019999,V,6.019999,-6.240000,1.100000,onboard,6,0.031210268,0.014947872,0.000186800,0.000116769,0.045879647
mitp,i,6.039999,V,6.039999,-6.240000,1.100000,onboard,6,0.032181010,0.014783246,0.000161679,0.000163434,0.046232652
mitp,i,6.059999,V,6.059999,-6.240000,1.100000,onboard,6,0.032991435,0.014838792,0.000219271,0.000108939,0.046569232
mitp,i,6.079998,V,6.079998,-6.240000,1.100000,onboard,6,0.033931762,0.014739424,0.000174540,0.000194034,0.046933666
mitp,i,6.099998,V,6.099998,-6.240000,1.100000,onboard,6,0.034781370,0.014652074,0.000169739,0.000157100,0.047338516
mitp,i,6.119998,V,6.119998,-6.240000,1.100000,onboard,6,0.035661511,0.014692850,0.000189663,0.000134130,0.047733072
mitp,i,6.139998,V,6.139998,-6.240000,1.100000,onboard,6,0.036618594,0.014507473,0.000127243,0.000189835,0.048137899
mitp,i,6.159998,V,6.159998,-6.240000,1.100000,onboard,6,0.037329048,0.014577034,0.000228630,0.000117996,0.048534404
mitp,i,6.179998,V,6.179998,-6.240000,1.100000,onboard,6,0.038235608,0.014461558,0.000134020,0.000198997,0.048958760
mitp,i,6.199998,V,6.199998,-6.240000,1.100000,onboard,6,0.039211173,0.014351600,0.000191381,0.000172912,0.049397793
mitp,i,6.219998,V,6.219998,-6.240000,1.100000,onboard,6,0.040038005,0.014379370,0.000218638,0.000153236,0.049825657
mitp,i,6.239998,V,6.239998,-6.240000,1.100000,onboard,6,0.040956896,0.014184519,0.000132528,0.000206283,0.050282206
mitp,i,6.259998,V,6.259998,-6.240000,1.100000,onboard,6,0.041750193,0.014266656,0.000247859,0.000133686,0.050743822
mitp,i,6.279998,V,6.279998,-6.240000,1.100000,onboard,6,0.042679191,0.014131926,0.000148273,0.000221940,0.051232982
mitp,i,6.299998,V,6.299998,-6.240000,1.100000,onboard,6,0.043520361,0.014013030,0.000235970,0.000187265,0.051727381
mitp,i,6.319998,V,6.319998,-6.240000,1.100000,onboard,6,0.044185054,0.014043625,0.000270825,0.000151592,0.052208159
mitp,i,6.339998,V,6.339998,-6.240000,1.100000,onboard,6,0.045036521,0.013825305,0.000219693,0.000226762,0.052683592
mitp,i,6.359998,V,6.359998,-6.240000,1.100000,onboard,6,0.045945764,0.013920929,0.000283251,0.000155120,0.053171486
mitp,i,6.379998,V,6.379998,-6.240000,1.100000,onboard,6,0.046827167,0.013784449,0.000141312,0.000222981,0.053731665
mitp,i,6.399998,V,6.399998,-6.240000,1.100000,onboard,6,0.047646087,0.013635128,0.000264842,0.000223300,0.054265499
mitp,i,6.419998,V,6.419998,-6.240000,1.100000,onboard,6,0.048475776,0.013676849,0.000315449,0.000174004,0.054803830
mitp,i,6.439998,V,6.439998,-6.240000,1.100000,onboard,6,0.049375340,0.013412084,0.000204558,0.000264670,0.055332433
mitp,i,6.459998,V,6.459998,-6.240000,1.100000,onboard,6,0.050193023,0.013545201,0.000312414,0.000157998,0.055894047
mitp,i,6.479998,V,6.479998,-6.240000,1.100000,onboard,6,0.050924331,0.013367869,0.000204513,0.000251388,0.056457505
mitp,i,6.499998,V,6.499998,-6.240000,1.100000,onboard,6,0.051812645,0.013214868,0.000247699,0.000237497,0.057044920
mitp,i,6.519998,V,6.519998,-6.240000,1.100000,onboard,6,0.052781809,0.013281238,0.000340143,0.000162884,0.057635665
mitp,i,6.539998,V,6.539998,-6.240000,1.100000,onboard,6,0.053597704,0.012960076,0.000286709,0.000273985,0.058204994
mitp,i,6.559998,V,6.559998,-6.240000,1.100000,onboard,6,0.054427821,0.013117461,0.000366425,0.000168618,0.058802530
mitp,i,6.579998,V,6.579998,-6.240000,1.100000,onboard,6,0.055252414,0.012933922,0.000200682,0.000281859,0.059414286
mitp,i,6.599998,V,6.599998,-6.240000,1.100000,onboard,6,0.056142721,0.012772307,0.000295897,0.000252768,0.060084593
mitp,i,6.619998,V,6.619998,-6.240000,1.100000,onboard,6,0.056749508,0.012850340,0.000425614,0.000186710,0.060701877
mitp,i,6.639998,V,6.639998,-6.240000,1.100000,onboard,6,0.057510987,0.012477850,0.000322741,0.000312707,0.061303928
